participant,list_number,slider.response,slider.rt,key_resp.rt,cond,item_type,item_no,correct_response,AC_correct,AC_no_correct,AC_outcome,session,literacy,ageResp.text,genderResp1.response,edu_slider.response,total_duration,comments
1,list1.csv,0.996031746031746,24.27430000001192,24.125599999964237,trunc,﻿F,40,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.17328042328042326,18.198100000023857,2.2102999999522694,full,﻿E,31,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.0978835978835979,13.00569999998811,1.7746000000238382,full,﻿E,11,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.5158730158730158,20.84279999995232,3.760499999999979,trunc,﻿E,20,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.43121693121693117,12.88889999997616,5.675599999964277,trunc,﻿E,28,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.2037037037037035,19.751100000023825,2.627599999964275,full,﻿E,23,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.7566137566137567,11.561600000023816,2.069399999976156,trunc,﻿F,36,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.12037037037037024,11.055700000047691,0.6936000000238209,full,﻿E,9,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.675925925925926,75.41260000002382,1.6413000000119382,full,﻿F,33,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.08333333333333326,10.920100000023863,1.3498000000118964,trunc,﻿E,14,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.32671957671957674,21.321500000000015,1.006099999964249,trunc,﻿E,24,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.1693121693121693,8.851699999988057,1.5766000000238591,trunc,﻿E,12,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.302910052910053,14.503399999976182,0.6430000000000291,trunc,﻿E,32,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.2407407407407407,9.168899999976134,0.3991999999880704,full,﻿E,17,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.2936507936507935,3.825400000035757,0.5120000000000005,trunc,﻿E,30,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.033068783068783025,20.055899999976138,1.0382000000475955,trunc,﻿E,10,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
1,list1.csv,0.8412698412698416,22.867900000035775,4.01840000003574,full,﻿F,35,NA,NA,6,PASS,62f4ea419b75a2ce7251ffb4,18,23,Man,High school diploma/A-levels,963.604399999976,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
